date	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
01/22	A1	194	PHO2	7697	391864	6699.5	20133	9625.55	28357.5	unexpect
01/22	A2	435	PHO2	8136	419577	6473	16073.5	8429.75	20985.7	pass
01/22	A3	435	PHO2	5407	414098	5963.5	18202	7852.05	24253.5	pass
01/22	A4	435	PHO2	8081	411299	6027.5	19594	8264.75	26852.2	pass
01/22	A5	194	PHO2	8182	397001	6735	19038	9535.449999999999	27171.4	unexpect
01/22	A6	437	PHO2	8239	381290	5639.5	7523	8281.75	10830.3	unexpect
01/22	A7	437	PHO2	8172	380288	729	6885.5	1080.95	9821.8	pass
01/22	A8	437	PHO2	8006	375541	604	8062	895.8499999999999	11517.9	pass
01/22	A9	194	PHO2	7999	385370	1069.5	19501	1570.45	28639.9	pass
01/22	A10	439	PHO2	8216	392095.5	1005.5	10406.5	1378.2499999999998	14506.2	pass
01/22	A11	439	PHO2	8096	392512.5	785.5	10954.5	1068.6499999999999	15267.3	pass
01/22	A12	439	PHO2	8133	375065	617.5	9988	921.25	14429.4	pass
01/22	B2	435	pho2∆	8109	401702	7658.5	1066	10964.55	1489.5	pass
01/22	B3	435	pho2∆	7767	352446	7601.5	2080	12736.349999999999	3653.5	pass
01/22	B4	435	pho2∆	8158	369962	6405	1325	10287.25	2058.4	pass
01/22	B6	437	pho2∆	8096	396034.5	7991	937	10989.75	1292.7	unexpect
01/22	B7	437	pho2∆	8169	368124	1024.5	792	1544.6499999999999	1200.1	pass
01/22	B8	437	pho2∆	7967	351592	631.5	769	1090.45	1235.3	pass
01/22	B9	NA	pho2∆	7974	352717	27.5	587	155.04999999999995	949.8	pass
01/22	B10	439	pho2∆	8268	372805	968.5	672	1418.2499999999998	1003.3	pass
01/22	B11	439	pho2∆	7986	366145.5	3706	1592.5	5801.25	2431	pass
01/22	B12	439	pho2∆	7894	356104.5	800.5	731	1303.2499999999998	1149.5	pass
01/22	C1	194	PHO2	7720	396106	6321.5	17668	8994.949999999999	25255.6	unexpect
01/22	C2	250	PHO2	8230	409552.5	8634.5	3008.5	11687.15	4219.8	pass
01/22	C3	250	PHO2	7698	406629.5	8909	2088	11959.849999999999	2867.5	pass
01/22	C4	250	PHO2	7855	378216	7359.5	2352	11037.449999999999	3564.3	pass
01/22	C5	194	PHO2	7961	370712	6391.5	15954	9893.55	24413.5	unexpect
01/22	C6	224	PHO2	7915	368171	4915.5	275	7514.3499999999995	429.70000000000005	pass
01/22	C7	224	PHO2	7871	384456	1366.5	824	1866.8500000000001	1155.6	pass
01/22	C8	224	PHO2	8016	383335	137.5	460	211.75	669.1	no exn
01/22	C9	194	PHO2	7864	381527	1124.5	17793.5	1671.05	26441.4	pass
01/22	C10	278	PHO2	7915	348530	1003.5	1554	1736.05	2469	pass
01/22	C11	278	PHO2	7862	362578	1208.5	2159	1936.7499999999998	3324.8	pass
01/22	C12	278	PHO2	8239	355897	863.5	1880	1453.95	2925.8	pass
01/22	D1	NA	PHO2	7849	347260	3958.5	281	6380.55	462.5	unexpect
01/22	D2	250	pho2∆	7759	414677	12218.5	5013	15789.95	6964.2	pass
01/22	D3	250	pho2∆	7961	419798	10470.5	3198	13714.55	4364.5	pass
01/22	D4	250	pho2∆	8013	405886	10098.5	4776	13800.25	6815.1	pass
01/22	D6	224	pho2∆	7702	383625	3884.5	795	5457.95	1125.4	pass
01/22	D7	224	pho2∆	8013	366592	1084.5	816	1642.95	1238.5	pass
01/22	D8	224	pho2∆	8084	376683	803	572	1168.1499999999999	835.3	pass
01/22	D10	278	pho2∆	8009	356864	794.5	707	1297.05	1093.3	pass
01/22	D11	278	pho2∆	7679	366349	1400.5	1130	2057.3500000000004	1691	pass
01/22	D12	278	pho2∆	8114	368649.5	1127.5	1048	1666.2499999999998	1558.6	pass
01/22	E1	194	PHO2	8037	371141	1059.5	15016	1668.55	23111.1	pass
01/22	E2	436	PHO2	7940	407055	1012.5	19823	1350.2499999999998	27231.2	pass
01/22	E3	436	PHO2	7904	417573	925.5	20761.5	1143.6499999999999	27266.5	pass
01/22	E4	436	PHO2	8128	389609.5	711.5	18116.5	1050.45	26941.7	pass
01/22	E5	194	PHO2	7968	389495.5	6557.5	18743.5	9367.05	27096.5	unexpect
01/22	E6	438	PHO2	8210	361252	1436.5	3990	2386.95	6140	pass
01/22	E7	438	PHO2	8093	392610	855.5	7056	1167.05	9548	pass
01/22	E8	438	PHO2	7940	367847	582.5	5583.5	931.05	8324.2	pass
01/22	E9	194	PHO2	8033	399564	1259.5	20431	1724.55	28799.7	pass
01/22	F1	NA	pho2∆	7849	355147	2.5	393	112.34999999999991	623.8	pass
01/22	F2	436	pho2∆	7655	362676	1097.5	1253	1816.6499999999999	1919.3000000000002	pass
01/22	F3	436	pho2∆	7531	353953	974.5	1215	1712.3500000000001	1932.6999999999998	pass
01/22	F4	436	pho2∆	7615	359454	1091.5	1381	1848.8500000000001	2204.2	pass
01/22	F5	NA	PHO2	7803	339895	3727.5	316	6300.05	541.2	unexpect
01/22	F6	438	pho2∆	7981	378483	2544.5	461	3603.1500000000005	672.1	pass
01/22	F7	438	pho2∆	8073	395879	4454.5	1234	6261.6500000000005	1711.7	pass
01/22	F8	438	pho2∆	7921	351000	941.5	647	1578.55	1055.4	pass
01/22	F10	194	pho2∆	8116	381328	1073.5	742	1513.1499999999999	1050.5	pass
01/22	F11	194	pho2∆	7831	381564	1253.5	907	1755.1499999999999	1284.6	pass
01/22	F12	194	pho2∆	8006	363302	905.5	773	1404.95	1166.1	pass
01/22	G1	194	PHO2	8031	393036	979.5	17025	1369.8500000000001	24105.2	pass
01/22	G2	240	PHO2	8062	368263	1402.5	1994	2140.05	2918.2	pass
01/22	G3	240	PHO2	8132	375417.5	1336	2100	2043.2499999999998	3022.4	pass
01/22	G4	240	PHO2	7978	364824.5	1506	2599.5	2297.95	3870.5	pass
01/22	G5	194	PHO2	8025	377575	5815.5	15487	8632.849999999999	22820.4	unexpect
01/22	G6	229	PHO2	8124	362291	2072	451	3088.8500000000004	679	pass
01/22	G7	229	PHO2	8065	378870	925.5	478	1286.3500000000001	686.7	pass
01/22	G8	229	PHO2	8031	381042	786.5	518	1114.55	735.5	pass
01/22	G9	194	PHO2	8124	404895	1039.5	18751.5	1380.8500000000001	26043.4	pass
01/22	G10	188	PHO2	7684	376671	751	11694.5	1161.6499999999999	17090	pass
01/22	G11	188	PHO2	7771	377124	767.5	11885	1134.1499999999999	17379.1	pass
01/22	G12	188	PHO2	7704	382445.5	863	13543.5	1276.55	19434.1	pass
01/22	H2	240	pho2∆	7920	377440.5	3192.5	5293.5	4718.45	7765.7	pass
01/22	H3	240	pho2∆	7887	387635	2541.5	4181	3772.3500000000004	6220	pass
01/22	H4	240	pho2∆	7662	378772.5	2733.5	4576.5	4159.6500000000005	6772.9	pass
01/22	H5	NA	pho2∆	7799	356122	3423.5	508	5677.55	813.9	unexpect
01/22	H6	229	pho2∆	7746	375124.5	2153.5	607.5	3044.95	880	pass
01/22	H7	229	pho2∆	8069	373672	1029.5	669	1489.1499999999999	988.7	pass
01/22	H8	229	pho2∆	8102	378669.5	875.5	581	1215.6499999999999	836.6	pass
01/22	H9	NA	PHO2	7840	345391.5	-22.5	342	107.75	581.4	pass
01/22	H10	188	pho2∆	7720	353772	690.5	10214.5	1174.2499999999998	15954	pass
01/22	H11	188	pho2∆	7841	369251	768.5	10284	1211.05	15367.2	pass
01/22	H12	188	pho2∆	7795	352457	706.5	11637	1221.05	18344	pass
01/25	A1	194	PHO2	7431	369288	1297.5	18088	1992.1499999999999	27272.8	pass
01/25	A2	435	PHO2	7849	377183	509.5	11581	787.25	17072.3	pass
01/25	A3	435	PHO2	7970	402149	674.5	13756	883.8499999999999	18872	pass
01/25	A4	435	PHO2	8058	390707	660.5	12327	934.55	17234.4	pass
01/25	A5	194	PHO2	8332	399636.5	1269.5	16532	1714.05	23155.8	pass
01/25	A6	437	PHO2	8244	369076.5	407	5758	639.8499999999999	8263.7	pass
01/25	A7	437	PHO2	8176	384522.5	766.5	8637	1098.85	12146.3	pass
01/25	A8	437	PHO2	7985	373054	502.5	6238	780.55	9014.2	pass
01/25	A9	194	PHO2	7900	424136	1509.5	20076	1849.05	25562.7	pass
01/25	A10	439	PHO2	7969	371405	556.5	9335	868.55	13753	pass
01/25	A11	439	PHO2	7906	376696	3357.5	8717	4961.95	12739.5	pass
01/25	A12	439	PHO2	7904	372086.5	4002.5	9179	6052.85	13662.7	pass
01/25	B2	435	pho2∆	7690	376065.5	1510.5	1903	2356.55	3021.1	pass
01/25	B3	435	pho2∆	7806	380780	1689.5	1913	2496.8500000000004	2945.8	pass
01/25	B4	435	pho2∆	7898	390631.5	1697.5	2196.5	2554.95	3403.9	pass
01/25	B6	437	pho2∆	7880	364315	760.5	670.5	1212.7499999999998	1049.9	pass
01/25	B7	437	pho2∆	8186	412033	2478.5	1023	3189.1500000000005	1344.6	pass
01/25	B8	437	pho2∆	7873	380861	711.5	539	1019.6499999999999	784.8	pass
01/25	B9	NA	pho2∆	7845	372367	116.5	481	229.45000000000005	723.3	pass
01/25	B10	439	pho2∆	7922	365749	1836.5	1019	2825.45	1558.9	pass
01/25	B11	439	pho2∆	7867	357129	2642.5	762	4104.6500000000005	1188.2	pass
01/25	B12	439	pho2∆	7761	349569	2784.5	756	4489.75	1247.1	pass
01/25	C1	194	PHO2	8035	408513	1413.5	15086	1865.1499999999999	20535.3	pass
01/25	C2	250	PHO2	7841	384410	1629.5	2382	2397.95	3489.2	pass
01/25	C3	250	PHO2	8096	393635	1474.5	1828	2097.25	2629.6	pass
01/25	C4	250	PHO2	8061	389834	1348.5	1962	1968.1499999999999	2864.5	pass
01/25	C5	194	PHO2	7873	431034	1590.5	19082	1900.6499999999999	23904	pass
01/25	C6	224	PHO2	7983	376397	121.5	410	222.75	606.6	no exn
01/25	C7	224	PHO2	8158	381521.5	556.5	712	795.55	1014.8	pass
01/25	C8	224	PHO2	7992	366927.5	145.5	421	272.54999999999995	634.9	no exn
01/25	C9	194	PHO2	8072	412836.5	1234.5	18398	1600.55	25098.9	pass
01/25	C10	278	PHO2	8252	351604.5	552.5	915	968.05	1427.7	pass
01/25	C11	278	PHO2	8137	364403	2620.5	1835	4025.05	2861.7	pass
01/25	C12	278	PHO2	8044	364375.5	4455.5	1686.5	6864.55	2506.2	pass
01/25	D1	NA	PHO2	7852	353822.5	68.5	385	204.95000000000005	619.1	pass
01/25	D2	250	pho2∆	7790	391375.5	2652	3569	4011.75	5301	pass
01/25	D3	250	pho2∆	7558	401774	2280	2891.5	3247.75	4221.1	pass
01/25	D4	250	pho2∆	7618	372532	2054.5	2955	3179.8500000000004	4525	pass
01/25	D6	224	pho2∆	8027	383299	1014.5	680	1413.2499999999998	977.7	pass
01/25	D7	224	pho2∆	7812	345233	483.5	483	891.75	799	pass
01/25	D8	224	pho2∆	8106	363025.5	485	572.5	781.95	865.4	pass
01/25	D10	278	pho2∆	7813	354189	634.5	603	1070.55	956	pass
01/25	D11	278	pho2∆	7660	357128.5	2802.5	739	4323.45	1154.3	pass
01/25	D12	278	pho2∆	7932	374990.5	2234.5	809	3231.1500000000005	1172.3	pass
01/25	E1	194	PHO2	8038	400670.5	1047	15078.5	1418.45	21007.4	pass
01/25	E2	436	PHO2	8038	411157	624.5	14888	791.1499999999999	20129.9	pass
01/25	E3	436	PHO2	8037	417114	710.5	16893	870.6499999999999	22276.7	pass
01/25	E4	436	PHO2	7967	406116	589.5	16679	758.6499999999999	22595.1	pass
01/25	E5	194	PHO2	7776	403218	1343.5	17691.5	1797.2499999999998	24379	pass
01/25	E6	438	PHO2	7780	369154.5	571.5	5533	889.6499999999999	8112.6	pass
01/25	E7	438	PHO2	7930	373914	512.5	5044.5	804.75	7438.4	pass
01/25	E8	438	PHO2	8163	351279	273.5	3738	523.8499999999999	5722.9	pass
01/25	E9	194	PHO2	7782	413561.5	1149.5	16538.5	1480.7499999999998	21970.9	pass
01/25	F1	NA	pho2∆	7673	375598	74.5	339	161.45000000000005	512	pass
01/25	F2	436	pho2∆	7711	363518	1105.5	1359	1824.6499999999999	2144.5	pass
01/25	F3	436	pho2∆	7872	376036	5241	7983	7694.45	11464.7	pass
01/25	F4	436	pho2∆	7761	366818	768.5	1139	1277.95	1716	pass
01/25	F5	NA	PHO2	8190	351033.5	12.5	157	132.04999999999995	264.1	pass
01/25	F6	438	pho2∆	7936	335635.5	726.5	389	1365.6499999999999	679.6	pass
01/25	F7	438	pho2∆	7977	365478	1623.5	554	2484.45	827.4	pass
01/25	F8	438	pho2∆	7922	342826	560.5	449	1033.25	761.5	pass
01/25	G1	194	PHO2	8083	410695	1130.5	14371	1493.2499999999998	19403.6	pass
01/25	G2	240	PHO2	7912	345797.5	1176	1368	2028.1499999999999	2146	pass
01/25	G3	240	PHO2	7784	352318	962.5	1506	1628.3500000000001	2327.3	pass
01/25	G4	240	PHO2	7763	349963	1040.5	1915	1745.3500000000001	2985.9	pass
01/25	G5	194	PHO2	7983	403000	1295.5	16260	1751.55	22207.1	pass
01/25	G6	229	PHO2	8043	364334	705.5	407	1060.45	609.5	pass
01/25	G7	229	PHO2	8056	365630.5	678.5	363	1029.55	542.2	pass
01/25	G8	229	PHO2	8031	350418	576.5	352	986.55	566.2	pass
01/25	G9	194	PHO2	7959	405875	1107.5	17214	1487.3500000000001	23742.4	pass
01/25	H2	240	pho2∆	7959	369457	1680.5	3337	2540.95	5120	pass
01/25	H3	240	pho2∆	8032	387713.5	1307	2805.5	1926.95	4186.3	pass
01/25	H4	240	pho2∆	7539	355508	1659.5	2982	2736.25	4760.5	pass
01/25	H5	NA	pho2∆	7613	368939	87.5	508	201.75	768.8	pass
01/25	H6	229	pho2∆	7730	368859	884.5	529	1295.8500000000001	782.7	pass
01/25	H7	229	pho2∆	7783	376725	1069.5	580	1495.45	846	pass
