Sample,Gate,X Parameter,Count,X Median


346-696-5,R1,GAL1pr-mCherry-H,1141,19452
346-696-9,R1,GAL1pr-mCherry-H,1592,19541
NA-blank-1,R1,GAL1pr-mCherry-H,1,17169
NA-549-2,R1,GAL1pr-mCherry-H,0,N/A
NA-696-5,R1,GAL1pr-mCherry-H,0,N/A
346-696-2,R1,GAL1pr-mCherry-H,787,19107
346-696-6,R1,GAL1pr-mCherry-H,1589,19496
346-696-10,R1,GAL1pr-mCherry-H,1391,19445
NA-696-1,R1,GAL1pr-mCherry-H,1,21266
NA-blank-2,R1,GAL1pr-mCherry-H,1,28103
NA-549-3,R1,GAL1pr-mCherry-H,0,N/A
346-696-3,R1,GAL1pr-mCherry-H,740,19466
346-696-7,R1,GAL1pr-mCherry-H,654,18933
346-696-11,R1,GAL1pr-mCherry-H,1392,19243
NA-696-2,R1,GAL1pr-mCherry-H,0,N/A
NA-696-3,R1,GAL1pr-mCherry-H,0,N/A
NA-blank-3,R1,GAL1pr-mCherry-H,0,N/A
346-696-4,R1,GAL1pr-mCherry-H,1110,19245
346-696-8,R1,GAL1pr-mCherry-H,1780,19524
346-696-12,R1,GAL1pr-mCherry-H,943,19327
NA-549-1,R1,GAL1pr-mCherry-H,1,24061
NA-696-4,R1,GAL1pr-mCherry-H,0,N/A
NA-696-6,R1,GAL1pr-mCherry-H,0,N/A
346-696-1,R1,GAL1pr-mCherry-H,1323,19539
349-696-1,R1,GAL1pr-mCherry-H,0,N/A
349-696-2,R1,GAL1pr-mCherry-H,0,N/A
349-696-3,R1,GAL1pr-mCherry-H,0,N/A
389-696-1,R1,GAL1pr-mCherry-H,675,18935
389-696-2,R1,GAL1pr-mCherry-H,504,18004
389-696-3,R1,GAL1pr-mCherry-H,516,18378
388-696-1,R1,GAL1pr-mCherry-H,524,18757
388-696-2,R1,GAL1pr-mCherry-H,353,18470
388-696-3,R1,GAL1pr-mCherry-H,604,19106
390-696-1,R1,GAL1pr-mCherry-H,334,17731
390-696-2,R1,GAL1pr-mCherry-H,427,18103
390-696-3,R1,GAL1pr-mCherry-H,294,18152
391-696-1,R1,GAL1pr-mCherry-H,451,18594
391-696-2,R1,GAL1pr-mCherry-H,433,17808
391-696-3,R1,GAL1pr-mCherry-H,438,18808
386-696-1,R1,GAL1pr-mCherry-H,0,N/A
386-696-2,R1,GAL1pr-mCherry-H,2,18395
386-696-3,R1,GAL1pr-mCherry-H,0,N/A
377-696-1,R1,GAL1pr-mCherry-H,0,N/A
377-696-2,R1,GAL1pr-mCherry-H,1,22097
377-696-3,R1,GAL1pr-mCherry-H,1,20940
378-696-1,R1,GAL1pr-mCherry-H,0,N/A
378-696-2,R1,GAL1pr-mCherry-H,0,N/A
378-696-3,R1,GAL1pr-mCherry-H,0,N/A
387-696-1,R1,GAL1pr-mCherry-H,0,N/A
387-696-2,R1,GAL1pr-mCherry-H,0,N/A
387-696-3,R1,GAL1pr-mCherry-H,0,N/A
350-696-1,R1,GAL1pr-mCherry-H,0,N/A
350-696-2,R1,GAL1pr-mCherry-H,0,N/A
350-696-3,R1,GAL1pr-mCherry-H,0,N/A
363-696-1,R1,GAL1pr-mCherry-H,6,23542
363-696-2,R1,GAL1pr-mCherry-H,6,17971
363-696-3,R1,GAL1pr-mCherry-H,10,16765
362-696-1,R1,GAL1pr-mCherry-H,7,19508
362-696-2,R1,GAL1pr-mCherry-H,8,18171
362-696-3,R1,GAL1pr-mCherry-H,17,20931
351-696-1,R1,GAL1pr-mCherry-H,30,17664
351-696-2,R1,GAL1pr-mCherry-H,31,19108
351-696-3,R1,GAL1pr-mCherry-H,16,17400
352-696-1,R1,GAL1pr-mCherry-H,583,18890
352-696-2,R1,GAL1pr-mCherry-H,616,19160
352-696-3,R1,GAL1pr-mCherry-H,626,19119
379-696-1,R1,GAL1pr-mCherry-H,19,17246
379-696-2,R1,GAL1pr-mCherry-H,19,16850
379-696-3,R1,GAL1pr-mCherry-H,102,18702
380-696-1,R1,GAL1pr-mCherry-H,50,17337
380-696-2,R1,GAL1pr-mCherry-H,1,16244
380-696-3,R1,GAL1pr-mCherry-H,20,17849
434-696-1,R1,GAL1pr-mCherry-H,69,18131
434-696-2,R1,GAL1pr-mCherry-H,110,17881
434-696-3,R1,GAL1pr-mCherry-H,184,18380
247-696-1,R1,GAL1pr-mCherry-H,1,17049
247-696-2,R1,GAL1pr-mCherry-H,0,N/A
247-696-3,R1,GAL1pr-mCherry-H,15,18010

346-696-5,singlets,GAL1pr-mCherry-H,10000,5967
346-696-9,singlets,GAL1pr-mCherry-H,10000,7821
NA-blank-1,singlets,GAL1pr-mCherry-H,6,5868
NA-549-2,singlets,GAL1pr-mCherry-H,10000,81
NA-696-5,singlets,GAL1pr-mCherry-H,10000,99
346-696-2,singlets,GAL1pr-mCherry-H,10000,4695
346-696-6,singlets,GAL1pr-mCherry-H,10000,7978
346-696-10,singlets,GAL1pr-mCherry-H,10000,6856
NA-696-1,singlets,GAL1pr-mCherry-H,10000,78
NA-blank-2,singlets,GAL1pr-mCherry-H,45,2391
NA-549-3,singlets,GAL1pr-mCherry-H,10000,85
346-696-3,singlets,GAL1pr-mCherry-H,10000,4191
346-696-7,singlets,GAL1pr-mCherry-H,10000,3901
346-696-11,singlets,GAL1pr-mCherry-H,10000,6670
NA-696-2,singlets,GAL1pr-mCherry-H,10000,82
NA-696-3,singlets,GAL1pr-mCherry-H,10000,87
NA-blank-3,singlets,GAL1pr-mCherry-H,28,2467
346-696-4,singlets,GAL1pr-mCherry-H,10000,5748
346-696-8,singlets,GAL1pr-mCherry-H,10000,8565
346-696-12,singlets,GAL1pr-mCherry-H,10000,4630
NA-549-1,singlets,GAL1pr-mCherry-H,10000,81
NA-696-4,singlets,GAL1pr-mCherry-H,10000,87
NA-696-6,singlets,GAL1pr-mCherry-H,10000,102
346-696-1,singlets,GAL1pr-mCherry-H,10000,6438
349-696-1,singlets,GAL1pr-mCherry-H,10000,155
349-696-2,singlets,GAL1pr-mCherry-H,10000,87
349-696-3,singlets,GAL1pr-mCherry-H,10000,92
389-696-1,singlets,GAL1pr-mCherry-H,10000,3328
389-696-2,singlets,GAL1pr-mCherry-H,10000,3080
389-696-3,singlets,GAL1pr-mCherry-H,10000,3313
388-696-1,singlets,GAL1pr-mCherry-H,10340,2875
388-696-2,singlets,GAL1pr-mCherry-H,10000,2381
388-696-3,singlets,GAL1pr-mCherry-H,10000,3400
390-696-1,singlets,GAL1pr-mCherry-H,10000,2891
390-696-2,singlets,GAL1pr-mCherry-H,10000,2936
390-696-3,singlets,GAL1pr-mCherry-H,10000,2528
391-696-1,singlets,GAL1pr-mCherry-H,10000,3401
391-696-2,singlets,GAL1pr-mCherry-H,10000,3518
391-696-3,singlets,GAL1pr-mCherry-H,10000,3445
386-696-1,singlets,GAL1pr-mCherry-H,10000,149
386-696-2,singlets,GAL1pr-mCherry-H,10000,154
386-696-3,singlets,GAL1pr-mCherry-H,10000,157
377-696-1,singlets,GAL1pr-mCherry-H,10000,92
377-696-2,singlets,GAL1pr-mCherry-H,10000,86
377-696-3,singlets,GAL1pr-mCherry-H,10000,96
378-696-1,singlets,GAL1pr-mCherry-H,10000,98
378-696-2,singlets,GAL1pr-mCherry-H,10000,88
378-696-3,singlets,GAL1pr-mCherry-H,10000,97
387-696-1,singlets,GAL1pr-mCherry-H,10000,83
387-696-2,singlets,GAL1pr-mCherry-H,10000,92
387-696-3,singlets,GAL1pr-mCherry-H,10000,90
350-696-1,singlets,GAL1pr-mCherry-H,10000,232
350-696-2,singlets,GAL1pr-mCherry-H,10000,227
350-696-3,singlets,GAL1pr-mCherry-H,10000,251
363-696-1,singlets,GAL1pr-mCherry-H,10000,842
363-696-2,singlets,GAL1pr-mCherry-H,10000,709
363-696-3,singlets,GAL1pr-mCherry-H,10000,859
362-696-1,singlets,GAL1pr-mCherry-H,10000,659
362-696-2,singlets,GAL1pr-mCherry-H,10000,693
362-696-3,singlets,GAL1pr-mCherry-H,10000,843
351-696-1,singlets,GAL1pr-mCherry-H,10000,1254
351-696-2,singlets,GAL1pr-mCherry-H,10000,1181
351-696-3,singlets,GAL1pr-mCherry-H,10000,1205
352-696-1,singlets,GAL1pr-mCherry-H,10000,3826
352-696-2,singlets,GAL1pr-mCherry-H,10000,3563
352-696-3,singlets,GAL1pr-mCherry-H,10000,3943
379-696-1,singlets,GAL1pr-mCherry-H,10000,1386
379-696-2,singlets,GAL1pr-mCherry-H,10000,445
379-696-3,singlets,GAL1pr-mCherry-H,10000,1731
380-696-1,singlets,GAL1pr-mCherry-H,10000,224
380-696-2,singlets,GAL1pr-mCherry-H,10000,192
380-696-3,singlets,GAL1pr-mCherry-H,10000,239
434-696-1,singlets,GAL1pr-mCherry-H,10000,793
434-696-2,singlets,GAL1pr-mCherry-H,10000,1502
434-696-3,singlets,GAL1pr-mCherry-H,10000,1683
247-696-1,singlets,GAL1pr-mCherry-H,10000,86
247-696-2,singlets,GAL1pr-mCherry-H,6576,82
247-696-3,singlets,GAL1pr-mCherry-H,10000,88


346-696-5,cells,FSC-H,23009,538258
346-696-9,cells,FSC-H,24975,560031
NA-blank-1,cells,FSC-H,11,260128
NA-549-2,cells,FSC-H,14817,330381
NA-696-5,cells,FSC-H,15865,367226
346-696-2,cells,FSC-H,19274,466855
346-696-6,cells,FSC-H,22009,509710
346-696-10,cells,FSC-H,22841,522402
NA-696-1,cells,FSC-H,15596,312675
NA-blank-2,cells,FSC-H,58,269889
NA-549-3,cells,FSC-H,14974,328672
346-696-3,cells,FSC-H,18699,452109
346-696-7,cells,FSC-H,19164,459684
346-696-11,cells,FSC-H,20628,467921
NA-696-2,cells,FSC-H,14849,308693
NA-696-3,cells,FSC-H,16708,320781
NA-blank-3,cells,FSC-H,42,259434
346-696-4,cells,FSC-H,20391,459422
346-696-8,cells,FSC-H,21208,502576
346-696-12,cells,FSC-H,20786,426893
NA-549-1,cells,FSC-H,16153,309084
NA-696-4,cells,FSC-H,16594,311295
NA-696-6,cells,FSC-H,15416,310556
346-696-1,cells,FSC-H,19033,469866
349-696-1,cells,FSC-H,27332,508932
349-696-2,cells,FSC-H,17890,454155
349-696-3,cells,FSC-H,20329,498084
389-696-1,cells,FSC-H,14507,363705
389-696-2,cells,FSC-H,13877,327648
389-696-3,cells,FSC-H,13785,323974
388-696-1,cells,FSC-H,14717,333818
388-696-2,cells,FSC-H,14679,337191
388-696-3,cells,FSC-H,14428,334773
390-696-1,cells,FSC-H,14028,314821
390-696-2,cells,FSC-H,14149,331654
390-696-3,cells,FSC-H,14342,314186
391-696-1,cells,FSC-H,13921,317559
391-696-2,cells,FSC-H,13838,318018
391-696-3,cells,FSC-H,13956,311879
386-696-1,cells,FSC-H,15214,322483
386-696-2,cells,FSC-H,16724,340427
386-696-3,cells,FSC-H,16936,320174
377-696-1,cells,FSC-H,16319,356917
377-696-2,cells,FSC-H,17345,331496
377-696-3,cells,FSC-H,16207,346509
378-696-1,cells,FSC-H,16835,375813
378-696-2,cells,FSC-H,16916,370623
378-696-3,cells,FSC-H,17621,354838
387-696-1,cells,FSC-H,18393,426246
387-696-2,cells,FSC-H,17192,382585
387-696-3,cells,FSC-H,18352,429455
350-696-1,cells,FSC-H,15201,355190
350-696-2,cells,FSC-H,16547,362904
350-696-3,cells,FSC-H,15660,357210
363-696-1,cells,FSC-H,14884,321908
363-696-2,cells,FSC-H,14016,300853
363-696-3,cells,FSC-H,14674,312485
362-696-1,cells,FSC-H,14730,327973
362-696-2,cells,FSC-H,14423,308389
362-696-3,cells,FSC-H,14850,313053
351-696-1,cells,FSC-H,14608,318055
351-696-2,cells,FSC-H,14083,320048
351-696-3,cells,FSC-H,14306,313004
352-696-1,cells,FSC-H,14055,308979
352-696-2,cells,FSC-H,15094,314329
352-696-3,cells,FSC-H,14187,298090
379-696-1,cells,FSC-H,14701,324859
379-696-2,cells,FSC-H,14908,331160
379-696-3,cells,FSC-H,15080,329691
380-696-1,cells,FSC-H,14908,328273
380-696-2,cells,FSC-H,15083,318856
380-696-3,cells,FSC-H,14596,320107
434-696-1,cells,FSC-H,15390,331238
434-696-2,cells,FSC-H,16347,356312
434-696-3,cells,FSC-H,16982,366462
247-696-1,cells,FSC-H,18802,395119
247-696-2,cells,FSC-H,14039,450679
247-696-3,cells,FSC-H,21881,446308

346-696-5,singlets,FSC-H,10000,322948
346-696-9,singlets,FSC-H,10000,323760
NA-blank-1,singlets,FSC-H,6,255334
NA-549-2,singlets,FSC-H,10000,280131
NA-696-5,singlets,FSC-H,10000,286359
346-696-2,singlets,FSC-H,10000,318705
346-696-6,singlets,FSC-H,10000,317285
346-696-10,singlets,FSC-H,10000,314258
NA-696-1,singlets,FSC-H,10000,261597
NA-blank-2,singlets,FSC-H,45,258287
NA-549-3,singlets,FSC-H,10000,280407
346-696-3,singlets,FSC-H,10000,312659
346-696-7,singlets,FSC-H,10000,313331
346-696-11,singlets,FSC-H,10000,313967
NA-696-2,singlets,FSC-H,10000,268927
NA-696-3,singlets,FSC-H,10000,277386
NA-blank-3,singlets,FSC-H,28,233993
346-696-4,singlets,FSC-H,10000,319292
346-696-8,singlets,FSC-H,10000,322279
346-696-12,singlets,FSC-H,10000,310308
NA-549-1,singlets,FSC-H,10000,281721
NA-696-4,singlets,FSC-H,10000,279265
NA-696-6,singlets,FSC-H,10000,274765
346-696-1,singlets,FSC-H,10000,348197
349-696-1,singlets,FSC-H,10000,425351
349-696-2,singlets,FSC-H,10000,328549
349-696-3,singlets,FSC-H,10000,359058
389-696-1,singlets,FSC-H,10000,299701
389-696-2,singlets,FSC-H,10000,284686
389-696-3,singlets,FSC-H,10000,284748
388-696-1,singlets,FSC-H,10340,281801
388-696-2,singlets,FSC-H,10000,278159
388-696-3,singlets,FSC-H,10000,283109
390-696-1,singlets,FSC-H,10000,280793
390-696-2,singlets,FSC-H,10000,286045
390-696-3,singlets,FSC-H,10000,273735
391-696-1,singlets,FSC-H,10000,282296
391-696-2,singlets,FSC-H,10000,280034
391-696-3,singlets,FSC-H,10000,272184
386-696-1,singlets,FSC-H,10000,280285
386-696-2,singlets,FSC-H,10000,293133
386-696-3,singlets,FSC-H,10000,283587
377-696-1,singlets,FSC-H,10000,304722
377-696-2,singlets,FSC-H,10000,291268
377-696-3,singlets,FSC-H,10000,294375
378-696-1,singlets,FSC-H,10000,318308
378-696-2,singlets,FSC-H,10000,305160
378-696-3,singlets,FSC-H,10000,304106
387-696-1,singlets,FSC-H,10000,289870
387-696-2,singlets,FSC-H,10000,286118
387-696-3,singlets,FSC-H,10000,295039
350-696-1,singlets,FSC-H,10000,283721
350-696-2,singlets,FSC-H,10000,286128
350-696-3,singlets,FSC-H,10000,282038
363-696-1,singlets,FSC-H,10000,276212
363-696-2,singlets,FSC-H,10000,269259
363-696-3,singlets,FSC-H,10000,268966
362-696-1,singlets,FSC-H,10000,276759
362-696-2,singlets,FSC-H,10000,274458
362-696-3,singlets,FSC-H,10000,273269
351-696-1,singlets,FSC-H,10000,279468
351-696-2,singlets,FSC-H,10000,284362
351-696-3,singlets,FSC-H,10000,274952
352-696-1,singlets,FSC-H,10000,276918
352-696-2,singlets,FSC-H,10000,274595
352-696-3,singlets,FSC-H,10000,266068
379-696-1,singlets,FSC-H,10000,279527
379-696-2,singlets,FSC-H,10000,291113
379-696-3,singlets,FSC-H,10000,279124
380-696-1,singlets,FSC-H,10000,293469
380-696-2,singlets,FSC-H,10000,282165
380-696-3,singlets,FSC-H,10000,288315
434-696-1,singlets,FSC-H,10000,274363
434-696-2,singlets,FSC-H,10000,282573
434-696-3,singlets,FSC-H,10000,277437
247-696-1,singlets,FSC-H,10000,287768
247-696-2,singlets,FSC-H,6576,329731
247-696-3,singlets,FSC-H,10000,307629


346-696-5,All Events,N/A,24407,N/A


346-696-5,cells,FSC-H,23009,538258
346-696-9,cells,FSC-H,24975,560031
NA-blank-1,cells,FSC-H,11,260128
NA-549-2,cells,FSC-H,14817,330381
NA-696-5,cells,FSC-H,15865,367226
346-696-2,cells,FSC-H,19274,466855
346-696-6,cells,FSC-H,22009,509710
346-696-10,cells,FSC-H,22841,522402
NA-696-1,cells,FSC-H,15596,312675
NA-blank-2,cells,FSC-H,58,269889
NA-549-3,cells,FSC-H,14974,328672
346-696-3,cells,FSC-H,18699,452109
346-696-7,cells,FSC-H,19164,459684
346-696-11,cells,FSC-H,20628,467921
NA-696-2,cells,FSC-H,14849,308693
NA-696-3,cells,FSC-H,16708,320781
NA-blank-3,cells,FSC-H,42,259434
346-696-4,cells,FSC-H,20391,459422
346-696-8,cells,FSC-H,21208,502576
346-696-12,cells,FSC-H,20786,426893
NA-549-1,cells,FSC-H,16153,309084
NA-696-4,cells,FSC-H,16594,311295
NA-696-6,cells,FSC-H,15416,310556
346-696-1,cells,FSC-H,19033,469866
349-696-1,cells,FSC-H,27332,508932
349-696-2,cells,FSC-H,17890,454155
349-696-3,cells,FSC-H,20329,498084
389-696-1,cells,FSC-H,14507,363705
389-696-2,cells,FSC-H,13877,327648
389-696-3,cells,FSC-H,13785,323974
388-696-1,cells,FSC-H,14717,333818
388-696-2,cells,FSC-H,14679,337191
388-696-3,cells,FSC-H,14428,334773
390-696-1,cells,FSC-H,14028,314821
390-696-2,cells,FSC-H,14149,331654
390-696-3,cells,FSC-H,14342,314186
391-696-1,cells,FSC-H,13921,317559
391-696-2,cells,FSC-H,13838,318018
391-696-3,cells,FSC-H,13956,311879
386-696-1,cells,FSC-H,15214,322483
386-696-2,cells,FSC-H,16724,340427
386-696-3,cells,FSC-H,16936,320174
377-696-1,cells,FSC-H,16319,356917
377-696-2,cells,FSC-H,17345,331496
377-696-3,cells,FSC-H,16207,346509
378-696-1,cells,FSC-H,16835,375813
378-696-2,cells,FSC-H,16916,370623
378-696-3,cells,FSC-H,17621,354838
387-696-1,cells,FSC-H,18393,426246
387-696-2,cells,FSC-H,17192,382585
387-696-3,cells,FSC-H,18352,429455
350-696-1,cells,FSC-H,15201,355190
350-696-2,cells,FSC-H,16547,362904
350-696-3,cells,FSC-H,15660,357210
363-696-1,cells,FSC-H,14884,321908
363-696-2,cells,FSC-H,14016,300853
363-696-3,cells,FSC-H,14674,312485
362-696-1,cells,FSC-H,14730,327973
362-696-2,cells,FSC-H,14423,308389
362-696-3,cells,FSC-H,14850,313053
351-696-1,cells,FSC-H,14608,318055
351-696-2,cells,FSC-H,14083,320048
351-696-3,cells,FSC-H,14306,313004
352-696-1,cells,FSC-H,14055,308979
352-696-2,cells,FSC-H,15094,314329
352-696-3,cells,FSC-H,14187,298090
379-696-1,cells,FSC-H,14701,324859
379-696-2,cells,FSC-H,14908,331160
379-696-3,cells,FSC-H,15080,329691
380-696-1,cells,FSC-H,14908,328273
380-696-2,cells,FSC-H,15083,318856
380-696-3,cells,FSC-H,14596,320107
434-696-1,cells,FSC-H,15390,331238
434-696-2,cells,FSC-H,16347,356312
434-696-3,cells,FSC-H,16982,366462
247-696-1,cells,FSC-H,18802,395119
247-696-2,cells,FSC-H,14039,450679
247-696-3,cells,FSC-H,21881,446308
